,source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
0,177571127944832,17295174056948998,G,1709.6210280441055,18.104211551704637,1079.5981362345917,11.152811758451318,96.80054,false,false,1,375316653866487564
1,177571127944832,17299266358277999,G,1709.695041352131,17.95690532237412,1236.472944362141,5.84380505282823,211.58696,false,false,1,375316653866487564
2,177571127944832,23469674457093294,G,1821.2843979979489,17.93131010977654,1265.9679265323552,12.28530826165597,103.04731,false,false,5,375316653866487564
3,177571127944832,23473766762725954,G,1821.3583503966045,18.052420247638135,1132.3446897627073,8.117879260276718,139.48775,false,false,4194305,375316653866487564
4,177571127944832,24561888310465576,G,1841.0348208511848,17.995217863391897,1193.6021748850187,9.794370867102371,121.86614,false,false,1,375316653866487564
5,177571127944832,24565980606682182,G,1841.1088211101153,18.106157835060706,1077.6645894876865,6.129143505430041,175.8263,false,false,129,375316653866487564
6,177571127944832,26233725515339623,G,1871.266247758677,18.030023595798273,1155.9453665367505,7.818458020815954,147.84825,false,false,32773,375316653866487564
7,177571127944832,34130473517995857,G,2014.0733504738885,18.3494225838905,861.3461428508986,7.971336908264149,108.05542,false,false,5,375316653866487564
8,177571127944832,35447692153385523,G,2037.8966896758445,18.283539350360666,915.2316003796853,8.60854388523081,106.31666,false,false,1048705,375316653866487564
9,177571127944832,37074262122833440,G,2067.3151365947097,18.096296217661614,1087.4974812450755,10.420580466957459,104.36055,false,false,1,375316653866487564
10,177571127944832,44180651953252011,G,2195.8310681040316,18.345572406093012,864.4060231798394,12.46663860043514,69.33754,false,false,6423313,375316653866487564
11,177571127944832,44184744255209610,G,2195.905097108988,18.33744511177839,870.9008253095292,7.305663659946849,119.20899,false,false,4194305,375316653866487564
12,177571127944832,45562747538907389,G,2220.8232931404755,18.127759097250177,1056.4357950633344,9.898739661798485,106.72427,false,false,1,375316653866487564
13,177571127944832,45566839831983409,G,2220.8972929548354,18.189705093120267,997.8487315098428,6.1295320596738305,162.79362,false,false,1,375316653866487564
14,177571127944832,46976427854066483,G,2246.3865255581745,18.34990106250705,860.9666354629675,13.817478196167432,62.309967,false,false,1,375316653866487564
15,177571127944832,54896719975175354,G,2389.6212485008627,18.006658557035728,1181.0909016639698,11.45854923314866,103.07508,false,false,5,375316653866487564
16,177571127944832,56485936881079152,G,2418.3641046492967,18.373445273447047,842.4975322213569,7.325243412585292,115.01291,false,false,1,375316653866487564
17,177571127944832,57840587066980118,G,2442.8644350271265,18.282741503356693,915.9044002272947,7.564656759700109,121.0768,false,false,1,375316653866487564
18,177571127944832,57844679361225401,G,2442.938448044523,18.313055709812335,890.6856654294714,7.665636254771211,116.19201,false,false,1,375316653866487564
19,177571127944832,64933148269875578,G,2571.128571205502,18.311603959205712,891.8774082426183,8.330613825832875,107.06023,false,false,1,375316653866487564
20,177571127944832,66543174159083420,G,2600.242252642884,18.335883225984677,872.1545612375005,8.992294472481074,96.989105,false,false,1,375316653866487564
21,177571127944832,67704325243854889,G,2621.2391613325312,18.092344028283588,1091.4632954502688,10.975164621768995,99.44846,false,false,1,375316653866487564
22,177571127944832,17295174056948998,BP,1709.6213428607325,18.579889380367256,505.1974318511547,32.92178373332649,15.345385,false,false,0,375316653866487564
23,177571127944832,17299266358277999,BP,1709.6953556911092,18.972113484865535,352.02336688157686,47.96654775651046,7.338935,false,false,0,375316653866487564
24,177571127944832,23469674457093294,BP,1821.284691416921,18.233587818049415,694.9951263282344,23.54508380565949,29.517632,false,false,0,375316653866487564
25,177571127944832,23473766762725954,BP,1821.3586931181874,18.198986763939466,717.5004548859912,21.091838230160178,34.017918,false,false,0,375316653866487564
26,177571127944832,24561888310465576,BP,1841.0351358515145,18.230162909014506,697.1909205716281,24.233862156108486,28.769287,false,false,0,375316653866487564
27,177571127944832,24565980606682182,BP,1841.1091356034644,18.437833064278834,575.8159102484515,21.25464367537978,27.0913,false,false,0,375316653866487564
28,177571127944832,26233725515339623,BP,1871.266541732173,18.48017540475128,553.7920595745834,18.881367502932154,29.330082,false,false,0,375316653866487564
29,177571127944832,34130473517995857,BP,2014.0736439798504,18.947655228585415,360.043350805886,31.908970189370123,11.283453,false,false,0,375316653866487564
30,177571127944832,35447692153385523,BP,2037.8970180040133,18.6428966229347,476.7143631054023,32.139526208698754,14.83265,false,false,0,375316653866487564
31,177571127944832,37074262122833440,BP,2067.315451513306,18.414022945303028,588.5829917992772,22.32800410634051,26.360752,false,false,0,375316653866487564
32,177571127944832,37078354407777944,BP,2067.389464519822,18.564099813295826,512.5980633028636,18.37199797150251,27.901052,false,false,0,375316653866487564
33,177571127944832,44180651953252011,BP,2195.831438714606,18.488129391948892,549.7498626640557,18.49225102694601,29.72866,false,false,0,375316653866487564
34,177571127944832,44184744255209610,BP,2195.9054398404364,18.203950871300567,714.2274505308376,21.543379098829472,33.152992,false,false,0,375316653866487564
35,177571127944832,45562747538907389,BP,2220.8236079134185,18.32221705119919,640.5161224233705,31.358792514844605,20.425407,false,false,0,375316653866487564
36,177571127944832,46976427854066483,BP,2246.386839828459,18.699047382626844,452.68690661412984,27.744299180854142,16.316393,false,false,0,375316653866487564
37,177571127944832,54896719975175354,BP,2389.6215419207138,18.264321486465,675.5979012049038,28.124939230857784,24.02131,false,false,0,375316653866487564
38,177571127944832,56485936881079152,BP,2418.3644196628743,18.162690953963157,741.8916869245569,26.270394031860743,28.2406,false,false,0,375316653866487564
39,177571127944832,57840587066980118,BP,2442.864749837285,18.733226015217447,438.6584303254417,23.636296287369472,18.55868,false,false,0,375316653866487564
40,177571127944832,57844679361225401,BP,2442.938762474311,18.520971279356107,533.3697419957249,15.979497922431907,33.37838,false,false,0,375316653866487564
41,177571127944832,64933148269875578,BP,2571.128886132188,18.57552141965244,507.2339553371761,16.296926505084418,31.124516,false,false,0,375316653866487564
42,177571127944832,66543174159083420,BP,2600.2425676330145,18.840421905119996,397.4185406611078,15.83793224264305,25.09283,false,false,0,375316653866487564
43,177571127944832,67704325243854889,BP,2621.2394756725735,18.234621734006858,694.333617094631,33.39746456907815,20.79001,false,false,0,375316653866487564
44,177571127944832,17295174056948998,RP,1709.6214296708833,17.6910757259775,664.8564863113467,28.909070686720252,22.998196,false,false,0,375316653866487564
45,177571127944832,17299266358277999,RP,1709.6954447874796,17.651994766560136,689.2238443087823,21.610708339080745,31.8927,false,false,0,375316653866487564
46,177571127944832,23469674457093294,RP,1821.2847795580822,17.627026143594872,705.2575482380336,18.688671485935703,37.737167,false,false,0,375316653866487564
47,177571127944832,23473766762725954,RP,1821.3587808317181,17.49747937338114,794.6327335421861,20.971155344299497,37.8917,false,false,0,375316653866487564
48,177571127944832,24565980606682182,RP,1841.1092238084875,17.728809955689666,642.1466454916422,18.182008141721475,35.317696,false,false,0,375316653866487564
49,177571127944832,26233725515339623,RP,1871.2666265999367,17.44683002657523,832.5804134279049,19.49198829252852,42.71398,false,false,0,375316653866487564
50,177571127944832,34130473517995857,RP,2014.0737319530297,17.784944674629365,609.7900457114793,20.483522521795113,29.769785,false,false,0,375316653866487564
51,177571127944832,35447692153385523,RP,2037.897107393157,17.8323802184945,583.7220688770619,19.73274551794457,29.581392,false,false,0,375316653866487564
52,177571127944832,37074262122833440,RP,2067.3155374375247,17.812350394211066,594.5906050674483,33.37561148950922,17.815123,false,false,0,375316653866487564
53,177571127944832,37078354407777944,RP,2067.389553150084,17.850688092915735,573.9617661461625,19.18033552508862,29.92449,false,false,0,375316653866487564
54,177571127944832,44180651953252011,RP,2195.831527281777,17.83590374497068,581.8307932859902,17.811613908196943,32.66581,false,false,0,375316653866487564
55,177571127944832,44184744255209610,RP,2195.90552769185,17.919955493632013,538.4879669616686,23.896773844300135,22.533918,false,false,0,375316653866487564
56,177571127944832,46976427854066483,RP,2246.3869291438623,17.945947259628305,525.75001846404,19.875309212236083,26.45242,false,false,0,375316653866487564
57,177571127944832,54896719975175354,RP,2389.621630096032,17.618211703501558,711.006414878283,22.13226466965277,32.125336,false,false,0,375316653866487564
58,177571127944832,56485936881079152,RP,2418.364504993609,17.88072580439415,558.3003224809519,22.101700405864168,25.260515,false,false,0,375316653866487564
59,177571127944832,57840587066980118,RP,2442.864836450528,17.843727838461163,577.6530424505818,27.939684502248404,20.675003,false,false,0,375316653866487564
60,177571127944832,57844679361225401,RP,2442.938851366661,17.834714239678267,582.4685817856282,17.621695015535433,33.05406,false,false,0,375316653866487564
61,177571127944832,64933148269875578,RP,2571.1289716608235,17.839159834993808,580.0885141704115,17.890195556148743,32.42494,false,false,0,375316653866487564
62,177571127944832,66543174159083420,RP,2600.2426533659086,17.9981204048445,501.08342647416174,18.169965229427348,27.577566,false,false,0,375316653866487564
63,177571127944832,67704325243854889,RP,2621.239564694588,17.802018326641104,600.2758478134888,21.62796855249163,27.75461,false,false,0,375316653866487564
